 Client Id,Transaction Date,Priority Flag,Transaction Type,FEE
HJ,11/04/2013,N,BUY,10
HJ,11/04/2013,N,SELL,10
AP,11/25/2013,Y,BUY,10
AP,11/25/2013,Y,SELL,10
GS,11/23/2013,Y,BUY,500
AS,11/20/2013,N,SELL,100
AP,11/19/2013,Y,DEPOSIT,500
AS,11/07/2013,N,SELL,100
HJ,11/30/2013,N,WITHDRAW,100
AP,11/06/2013,Y,DEPOSIT,500
AP,11/03/2013,Y,BUY,500
GS,11/05/2013,Y,WITHDRAW,500
GS,11/26/2013,Y,WITHDRAW,500
AP,11/25/2013,Y,BUY,500
AS,11/10/2013,N,SELL,100
AS,11/06/2013,N,BUY,50
AS,11/02/2013,N,DEPOSIT,50
AP,11/09/2013,Y,BUY,500
GS,11/11/2013,Y,DEPOSIT,500
AP,11/12/2013,Y,BUY,500
GS,11/08/2013,Y,BUY,500
AS,11/13/2013,N,SELL,100
GS,11/01/2013,Y,WITHDRAW,500
